Processed 1000 numbers: avg=4472.08, median=3716.50, uniques=1000
Processed 2000 numbers: avg=7558.72, median=5098.50, uniques=2000
Processed 3000 numbers: avg=10960.14, median=7901.60, uniques=3000
Processed 4000 numbers: avg=12696.40, median=10230.20, uniques=4000
Processed 5000 numbers: avg=14322.90, median=12511.10, uniques=5000
Processed 6000 numbers: avg=16151.58, median=16354.10, uniques=5998
Processed 7000 numbers: avg=16612.06, median=17544.70, uniques=6994
Processed 8000 numbers: avg=16698.26, median=17544.70, uniques=7993
Processed 9000 numbers: avg=22179.14, median=18255.50, uniques=8993
Processed 10000 numbers: avg=22469.38, median=18285.90, uniques=9992
Processed 11000 numbers: avg=25324.22, median=18679.90, uniques=10990
Processed 12000 numbers: avg=26723.06, median=20392.90, uniques=11985
Processed 13000 numbers: avg=26876.56, median=20392.90, uniques=12983
Processed 14000 numbers: avg=29048.84, median=24114.80, uniques=13982
Processed 15000 numbers: avg=32300.78, median=25026.00, uniques=14981
Processed 16000 numbers: avg=32313.60, median=25033.70, uniques=15981
Processed 17000 numbers: avg=32333.02, median=25033.70, uniques=16977
Processed 18000 numbers: avg=34190.74, median=29487.10, uniques=17969
Processed 19000 numbers: avg=37174.86, median=33797.70, uniques=18965
Processed 20000 numbers: avg=43525.90, median=40470.00, uniques=19963
Processed 21000 numbers: avg=55433.36, median=51450.00, uniques=20959
Processed 22000 numbers: avg=56048.72, median=51848.10, uniques=21953
Processed 23000 numbers: avg=56656.94, median=51848.10, uniques=22946
Processed 24000 numbers: avg=57981.32, median=52748.10, uniques=23937
Processed 25000 numbers: avg=57981.32, median=52748.10, uniques=24932
Processed 26000 numbers: avg=59332.20, median=56232.00, uniques=25928
Processed 27000 numbers: avg=65767.74, median=68107.20, uniques=26925
Processed 28000 numbers: avg=65826.32, median=68107.20, uniques=27917
Processed 29000 numbers: avg=65826.68, median=68107.20, uniques=28909
Processed 30000 numbers: avg=107704.90, median=70601.30, uniques=29904
Processed 31000 numbers: avg=107704.90, median=70601.30, uniques=30898
Processed 32000 numbers: avg=119567.96, median=71469.90, uniques=31890
Processed 33000 numbers: avg=121293.16, median=79467.30, uniques=32880
Processed 34000 numbers: avg=121405.20, median=79467.30, uniques=33876
Processed 35000 numbers: avg=121812.34, median=79467.30, uniques=34867
Processed 36000 numbers: avg=124210.72, median=80566.60, uniques=35855
Processed 37000 numbers: avg=124715.90, median=80566.60, uniques=36851
Processed 38000 numbers: avg=124902.84, median=80566.60, uniques=37846
Processed 39000 numbers: avg=125604.58, median=80566.60, uniques=38838
Processed 40000 numbers: avg=127133.26, median=82141.00, uniques=39834
Processed 41000 numbers: avg=129700.34, median=82141.00, uniques=40826
