Processed 97000 numbers: avg=770899.46, median=256046.70, uniques=96041
Processed 98000 numbers: avg=777456.99, median=257662.00, uniques=97025
Processed 99000 numbers: avg=780291.34, median=259121.60, uniques=98007
Processed 100000 numbers: avg=780910.68, median=259497.80, uniques=98986
Processed 101000 numbers: avg=785413.32, median=263352.20, uniques=99960
Processed 102000 numbers: avg=821689.23, median=266710.60, uniques=100942
Processed 103000 numbers: avg=829716.99, median=268170.20, uniques=101922
Processed 104000 numbers: avg=835226.69, median=272225.30, uniques=102897
Processed 105000 numbers: avg=839431.09, median=274513.90, uniques=103877
Processed 106000 numbers: avg=840890.17, median=276645.60, uniques=104858
Processed 107000 numbers: avg=853163.34, median=280520.90, uniques=105841
Processed 108000 numbers: avg=855035.16, median=280859.10, uniques=106813
Processed 109000 numbers: avg=860661.52, median=285876.20, uniques=107780
Processed 110000 numbers: avg=863239.91, median=287073.30, uniques=108759
Processed 111000 numbers: avg=865900.98, median=290561.10, uniques=109744
Processed 112000 numbers: avg=869546.81, median=294197.00, uniques=110725
Processed 113000 numbers: avg=875748.26, median=295510.90, uniques=111694
Processed 114000 numbers: avg=876980.54, median=296394.30, uniques=112675
Processed 115000 numbers: avg=882209.25, median=299361.40, uniques=113649
Processed 116000 numbers: avg=887000.04, median=303499.70, uniques=114624
Processed 117000 numbers: avg=907245.27, median=306110.50, uniques=115599
Processed 118000 numbers: avg=957747.97, median=310597.10, uniques=116575
Processed 119000 numbers: avg=982483.14, median=316217.60, uniques=117556
Processed 120000 numbers: avg=985217.72, median=319085.70, uniques=118531
Processed 121000 numbers: avg=991006.20, median=320653.90, uniques=119506
Processed 122000 numbers: avg=997304.73, median=321449.30, uniques=120488
Processed 123000 numbers: avg=1000328.50, median=322122.00, uniques=121466
Processed 124000 numbers: avg=1002475.45, median=323564.40, uniques=122453
Processed 125000 numbers: avg=1004714.05, median=324198.60, uniques=123437
Processed 126000 numbers: avg=1009270.21, median=328703.70, uniques=124420
Processed 127000 numbers: avg=1015655.88, median=332630.80, uniques=125392
Processed 128000 numbers: avg=1017497.44, median=336108.40, uniques=126359
Processed 129000 numbers: avg=1041045.66, median=338357.10, uniques=127330
Processed 130000 numbers: avg=1046335.23, median=340286.90, uniques=128297
Processed 131000 numbers: avg=1055295.68, median=344047.60, uniques=129268
Processed 132000 numbers: avg=1057623.30, median=344290.10, uniques=130240
Processed 133000 numbers: avg=1059448.82, median=344789.10, uniques=131212
Processed 134000 numbers: avg=1062304.93, median=345335.50, uniques=132188
Processed 135000 numbers: avg=1063117.71, median=345467.10, uniques=133156
Processed 136000 numbers: avg=1066400.23, median=346561.10, uniques=134128
Processed 137000 numbers: avg=1101745.52, median=350614.70, uniques=135102
Processed 138000 numbers: avg=1105362.42, median=353851.90, uniques=136078
Processed 139000 numbers: avg=1110624.47, median=358221.90, uniques=137051
Processed 140000 numbers: avg=1112391.31, median=359268.20, uniques=138030
Processed 141000 numbers: avg=1119225.33, median=366880.30, uniques=138987
Processed 142000 numbers: avg=1121530.89, median=368468.00, uniques=139953
Processed 143000 numbers: avg=1123956.22, median=372146.50, uniques=140917
Processed 144000 numbers: avg=1127829.87, median=374849.00, uniques=141887
Processed 145000 numbers: avg=1130418.91, median=377558.30, uniques=142860
Processed 146000 numbers: avg=1140027.43, median=377558.30, uniques=143834
Processed 147000 numbers: avg=1145373.40, median=380445.90, uniques=144805
Processed 148000 numbers: avg=1148620.91, median=382058.70, uniques=145782
Processed 149000 numbers: avg=1152532.95, median=385706.70, uniques=146755
Processed 150000 numbers: avg=1155118.90, median=388344.70, uniques=147731
Processed 151000 numbers: avg=1160017.57, median=389731.70, uniques=148712
Processed 152000 numbers: avg=1161511.94, median=396055.70, uniques=149689
Processed 153000 numbers: avg=1163691.07, median=396055.70, uniques=150666
Processed 154000 numbers: avg=1166317.00, median=397381.40, uniques=151636
Processed 155000 numbers: avg=1196699.79, median=400093.00, uniques=152605
Processed 156000 numbers: avg=1199539.65, median=401930.00, uniques=153574
Processed 157000 numbers: avg=1202407.23, median=403711.90, uniques=154551
Processed 158000 numbers: avg=1204218.16, median=409009.10, uniques=155527
Processed 159000 numbers: avg=1208546.07, median=410721.10, uniques=156494
Processed 160000 numbers: avg=1212766.85, median=414471.40, uniques=157464
Processed 161000 numbers: avg=1238667.01, median=419133.20, uniques=158438
Processed 162000 numbers: avg=1246503.07, median=420736.20, uniques=159404
Processed 163000 numbers: avg=1250049.50, median=423075.90, uniques=160369
Processed 164000 numbers: avg=1260349.13, median=426416.40, uniques=161340
Processed 165000 numbers: avg=1261712.10, median=427769.70, uniques=162310
Processed 166000 numbers: avg=1264292.45, median=428920.20, uniques=163278
Processed 167000 numbers: avg=1273034.75, median=429930.00, uniques=164256
Processed 168000 numbers: avg=1274364.86, median=430926.70, uniques=165224
Processed 169000 numbers: avg=1280011.75, median=433185.30, uniques=166197
